customerId,first,last,phone,email,address,town,zip,state
2009,Max,Lee,918-412-7693,mlee@gmail.com,15 Andover Ave,Butler,07405,NJ
2029,Ava,Harris,151-749-1623,aharris@gmail.com,56 Emmett St,Caldwell,07006,NJ
2030,Mia,Rogan,300-541-9488,mrogan@gmail.com,65 Eagle St,Caldwell,07006,NJ
2022,Amy,Jones,280-753-1958,ajones@gmail.com,7 Brigantine Blvd,Catham,08759,NJ
2024,Olivia,Beltre,377-666-5280,obeltre@gmail.com,14 Oak Terrace,Catham,07078,NJ
2026,Emily,Brown,751-709-6634,ebrown@gmail.com,2 Jay Avenue,Catham,07078,NJ
2006,Rebecca,Martin,213-507-3349,rmartin@gmail.com,31 Main St,Crestwood,08759,NJ
2014,Peter,Robinson,963-721-6845,probinson@gmail.com,3 Docker Rd,Crestwood,08759,NJ
2002,Bob,Jones,506-908-1494,bjones@gmail.com,12 Stony Ct,Kinnelon,07405,NJ
2004,Rob,Smith,926-867-9594,rsmith@gmail.com,16 Bridge St,Kinnelon,07405,NJ
2020,Alexa,Smith,307-813-7629,asmith@gmail.com,1 Eldon Hill,Kinnelon,07405,NJ
2025,Manuel,Rodriguez,608-738-2911,mrodriguez@gmail.com,67 Birch St,Mahwah,07439,NJ
2011,Bridget,Harris,437-925-3606,bharris@gmail.com,91 Oak St,Mahwah,07439,NJ
2017,Walker,Hall,690-322-2504,whall@gmail.com,1 Gravel Rd,Mahwah,07439,NJ
2021,Erin,Lee,551-681-5934,elee@gmail.com,34 Hamburg Rd,Morristown,07960,NJ
2001,Sophia,Snyder,432-240-7312,ssnyder@gmail.com,31 Maple Dr,Morristown,07960,NJ
2005,Terry,Moore,865-205-9795,tmoore@gmail.com,41 River Rd,Morristown,07960,NJ
2015,Sarah,Walker,848-822-8067,swalker@gmail.com,56 Maple Dr,Morristown,07960,NJ
2016,Sal,Perez,758-946-4617,sperez@gmail.com,91 River Rd,Bulter,07405,NJ
2028,Mia ,Lopez,646-216-5983,mlopez@gmail.com,19 Rocker Rd,Crestwood,08759,NJ
2003,Jake,Adams,426-405-9540,jadams@gmail.com,5 Gravel Hill Rd,Verona,07009,NJ
2007,John,White,718-139-6716,jwhite@gmail.com,30 Dolan Dr,Verona,07009,NJ
2008,Sam,Lopez,877-858-9094,slopez@gmail.com,67 Price St,Verona,07009,NJ
2010,Matthew,Gonzalez,859-369-3058,mgonzalez@gmail.com,41 Rocky Hill Dr,Verona,07009,NJ
2012,Anthony,Clark,949-379-1880,aclark@gmail.com,31 Center Ct,Verona,07009,NJ
2019,Madison,Walker,782-104-3989,mwalker@gmail.com,15 Weston St,Verona,07009,NJ
2023,Charlotte,Gonzalez,358-802-5407,cgonzalez@gmail.com,43 Maple Rd,Wayne,07035,NJ
2027,Isabella,Lee,675-213-1750,ilee@gmail.com,8 Wrecker Rd,Wayne,07035,NJ
2013,Amanda,Lewis,824-841-6736,alewis@gmail.com,41 Stone St,Wycoff,07481,NJ
2018,Jennifer,Williams,734-130-7613,jwilliams@gmail.com,41 River Rd,Wycoff,07481,NJ
